Youngmaidainon/Agent-Level-Up	8c91c810ff51ff510a93f357bbd07fc83a3bf353	ae7abd842fbf32b6e2a7b516254b7af29552ed00	README.md	.agents/skills
SHLcy/ai-passport-miniapp-installer	a2510196f85ae7e56e4e181b3d059b0a7e11c8e4	0d000432f0f8d0f11f3e3f46c3af058b2bb5b16c	docs/brand/README.md,docs/brand/README.zh_CN.md,docs/brand/brand-and-product.md,docs/brand/brand-and-product.zh_CN.md,skills/plays-archive/SKILL.md,skills/plays-archive/SKILL.zh_CN.md	assets/brand/README.md,docs/assets/brand,docs/assets/brand/README.md
Lvbalaji/Graphite_Project	f8e16c0d6c8e6eb0784eb40adf9a70be3016bf64	276dad3032d3acf62df2247268411ff881709c98	README.md	./dataset,./rq1_classifier_comparison/results,rq1_classifier_comparison/comparative_analysis.py,rq2_xai_faithfulness/lightgbm_shap_analyzer.py,rq2_xai_faithfulness/xai_faithfulness_analysis.py,rq3_4_live_soc/live_soc_simulation.py
actions-marketplace-validations/xpepper_pr-review-gemini	ed5ab3e84160e4a522801e89ba72f5ec2f8f67d9	e96d9771d915b3a3ed6e2a3e47b923048684738a	HANDOFF.md	fix/ci-lens-degradation
index-tts/index-tts	711ba4b7c4c3abf7272bb416caa472ae618e78f0	a07e120893e350b87e1835660bd5c2a76e007e5d	README.md,docs/README_zh.md	./checkpoints_25,checkpoints/config_v2_5.yaml,checkpoints_25/config_v2_5.yaml
lincolnaleixo/retrolife	08a283ca56c207918813f2c5af66c1728c9e7e29	89c4edf2ce93d4f5615154c622e8918b4ba47929	README.md	beta.1/beta.2
duyanta123/dsh-data-insight	dba49d89dd3ad9370172bc3be9d5e252d90a632b	53f3a0632cb1f52e6fb487cbff6e4ddcbaf5e525	README.md	examples/sample-sales.csv,scripts/csv-profile.mjs,scripts/setup-duckdb.ps1,scripts/setup-duckdb.sh
lorenleey/practica_scala	48cf4ceea03608e566e0946b85fa81b8d0a5c154	fa87a09defb68be44a3d472ac0540ca0107f249e	parte2/README.md	../images/ejercicio-01.png,../images/ejercicio-04.png,../images/ejercicio-09.png,../images/ejercicio-12.png,../images/ejercicio-15.png,../images/scala-version.png
sileskyg26-rgb/Akinator-Rule-Based-Expert-System	e398b04c245d25fcff12e1df19ff82e6ec2f9e35	937f6562f1cfaec4b96f2fd96c40f07a4ec22c64	README.md	images/Display.gif
BrightWayAI/briefing	321ea72f68e8d0d6d66915ff7f203cae6024dd89	889cfaf82fa715e6f2212c0218166c87d350a5b1	commands/brief.md,skills/brief/SKILL.md	memory/surfacing-prefs.md
Tools4everBV/HelloID-Conn-Prov-Target-DormakabaExos	aeded46b7791cfda4ebfa0e4a35575a2340a818c	a9b593195ee95a14439715a3f59de365eba621f7	readme.md	disable/block
Swately/PhyriadFG	d82f64759ab6d710b378d58f7e44c37c962a0d71	76e8a1f9a76381976abc062e6b14a52fab3b3ad5	docs/legacy/RENDER_ASSISTANT_KICKOFFS.md,docs/research/ongoing/STAGE39_OUTPUT_CLOCK_DESIGN.md	../RENDER_ASSISTANT_PLAN.md
grapeot/opencode_ios_client	6b18689469d2b4376f8deb42c7608a7ab6da09af	88e3bd638e0e0efc0c11e82e9cce668dde5686a9	AGENTS.md,docs/OpenCode_iOS_Client_PRD.md,docs/OpenCode_iOS_Client_RFC.md,docs/WORKING.md,docs/tests.md,skills/client_capabilities.md	../docs/client_capabilities_protocol.md,PRD/RFC/working,docs/Markdown_Web_Preview_PRD.md,docs/Markdown_Web_Preview_RFC.md,docs/client_capabilities_protocol.md,docs/skill_operate_ios_simulator.md,docs/skill_ui_test_tasks.md,docs/ui_test_prompts/01_read_card_visible.md
